# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.017453292519943,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
# Label	X/East	Y/North	Z/Altitude	Yaw	Pitch	Roll	Error (m)	X error	Y error	Z error	Error (deg)	Yaw error	Pitch error	Roll error	X est	Y est	Z est	Yaw est	Pitch est	Roll est
dji_0044.jpg	-73.625893	3.864116	59.900000				0.368691	-0.332511	0.085390	-0.134454					-73.625896	3.864117	59.765546	299.725905	51.671426	-1.244488
dji_0045.jpg	-73.625890	3.864137	59.900000				0.423542	-0.228700	0.346408	-0.084178					-73.625892	3.864141	59.815822	283.137634	51.551652	-0.429936
dji_0046.jpg	-73.625896	3.864174	59.800000				0.392877	-0.342902	-0.189921	0.026466					-73.625899	3.864172	59.826466	249.766499	51.539258	0.293537
dji_0047.jpg	-73.625921	3.864211	59.900000				0.514941	-0.146199	-0.490645	0.055295					-73.625922	3.864206	59.955295	211.169728	51.610634	0.415286
dji_0048.jpg	-73.625950	3.864220	59.900000				0.563919	-0.252580	-0.500052	0.064469					-73.625953	3.864215	59.964469	169.273316	51.572057	0.357902
dji_0049.jpg	-73.625994	3.864206	59.900000				0.692444	0.576480	-0.311385	-0.224029					-73.625989	3.864203	59.675971	130.295155	51.675275	0.531883
dji_0050.jpg	-73.626024	3.864162	59.700000				0.854847	0.643574	-0.544609	0.141344					-73.626019	3.864157	59.841344	86.198137	51.945329	-0.059966
dji_0051.jpg	-73.626010	3.864091	59.900000				1.309977	1.159597	-0.606574	-0.058679					-73.626000	3.864085	59.841321	32.599111	51.812713	-0.948291
dji_0052.jpg	-73.625983	3.864074	60.000000				0.911619	-0.610056	0.558165	-0.383841					-73.625989	3.864079	59.616159	39.729317	52.448732	0.170138
dji_0053.jpg	-73.626007	3.864077	58.700000				0.538793	0.259877	0.291311	-0.371348					-73.626005	3.864080	58.328652	40.513515	52.887668	1.028336
dji_0054.jpg	-73.626006	3.864075	56.100000				0.470759	0.335741	0.307215	-0.120462					-73.626003	3.864078	55.979538	39.260512	53.080705	1.288236
dji_0055.jpg	-73.626003	3.864077	54.300000				1.278456	0.749581	0.994817	0.287955					-73.625996	3.864086	54.587955	34.934846	53.258712	1.277878
dji_0056.jpg	-73.625951	3.864076	54.500000				0.822477	0.199055	0.683516	-0.411888					-73.625949	3.864082	54.088112	344.662831	52.903736	-1.501566
dji_0057.jpg	-73.625935	3.864085	54.300000				0.495102	0.021289	0.433764	-0.237741					-73.625935	3.864089	54.062259	342.124416	52.972816	-0.737174
dji_0058.jpg	-73.625919	3.864080	54.200000				0.448577	0.011956	0.443033	-0.069284					-73.625919	3.864084	54.130716	341.453032	53.079923	-0.116962
dji_0059.jpg	-73.625900	3.864087	54.500000				1.011897	-0.122240	0.923966	-0.394056					-73.625901	3.864095	54.105944	313.758725	52.477268	-1.468761
dji_0060.jpg	-73.625884	3.864117	54.300000				0.663162	-0.305059	0.572626	-0.137195					-73.625887	3.864122	54.162805	304.235434	52.168875	-0.857090
dji_0061.jpg	-73.625875	3.864143	54.500000				0.558049	-0.429727	0.325982	-0.143141					-73.625879	3.864146	54.356859	276.655639	51.730942	-1.132698
dji_0062.jpg	-73.625875	3.864179	54.500000				0.498002	-0.442514	-0.042133	-0.224526					-73.625879	3.864179	54.275474	253.206980	51.497186	-0.499656
dji_0063.jpg	-73.625887	3.864200	54.400000				0.463807	-0.405549	-0.106575	-0.198214					-73.625891	3.864199	54.201785	229.898886	51.451777	-0.113990
dji_0064.jpg	-73.625911	3.864226	54.200000				0.698702	-0.684549	0.044856	0.132534					-73.625917	3.864227	54.332533	199.628037	51.425341	-0.060320
dji_0065.jpg	-73.625937	3.864244	54.400000				0.970224	-0.936671	-0.200764	0.153875					-73.625945	3.864242	54.553875	177.149038	51.389066	0.467727
dji_0066.jpg	-73.625993	3.864212	54.500000				0.627637	0.168680	-0.385459	-0.465722					-73.625992	3.864209	54.034278	131.846056	51.647940	0.043859
dji_0067.jpg	-73.626001	3.864203	54.200000				0.447769	0.294705	-0.167259	-0.292695					-73.625998	3.864202	53.907305	124.549189	51.942440	-0.479739
dji_0068.jpg	-73.626006	3.864185	54.200000				1.001471	0.064445	-0.848781	-0.527600					-73.626005	3.864177	53.672400	111.359431	51.857345	0.064733
dji_0069.jpg	-73.626013	3.864154	54.200000				0.573262	-0.045643	0.527148	-0.220594					-73.626013	3.864158	53.979406	95.128369	52.013573	0.188314
dji_0070.jpg	-73.626023	3.864130	54.400000				0.736499	0.320011	-0.525540	-0.404762					-73.626020	3.864125	53.995238	63.758671	52.447326	-0.119190
dji_0071.jpg	-73.626004	3.864111	54.300000				0.602274	0.563205	-0.045953	-0.208382					-73.625999	3.864110	54.091618	53.710456	52.609810	0.703709
dji_0072.jpg	-73.625983	3.864099	54.400000				0.610048	0.296968	0.334878	-0.414519					-73.625980	3.864103	53.985481	33.424243	52.816904	0.974139
dji_0073.jpg	-73.625983	3.864079	54.300000				0.433696	-0.057469	0.025061	-0.429141					-73.625983	3.864079	53.870859	28.651719	52.921817	1.566546
dji_0074.jpg	-73.625947	3.864060	54.200000				0.826910	-0.064098	0.711092	-0.417157					-73.625948	3.864067	53.782843	19.674373	52.914821	1.125550
dji_0075.jpg	-73.625948	3.864052	55.500000				1.127680	-0.039444	0.964730	-0.582583					-73.625948	3.864061	54.917417	17.276258	52.936952	1.050737
dji_0076.jpg	-73.625998	3.864086	52.400000				2.109116	0.360907	0.333052	2.051145					-73.625995	3.864089	54.451145	38.635746	90.000000	0.000000
dji_0077.jpg	-73.625996	3.864087	53.000000				2.192427	0.221333	0.422880	2.139842					-73.625994	3.864091	55.139842	39.725667	90.000000	0.000000
dji_0078.jpg	-73.626012	3.864102	53.400000				1.899103	-0.015688	0.169878	1.891425					-73.626012	3.864104	55.291425	55.722159	90.000000	0.000000
dji_0079.jpg	-73.626014	3.864103	54.400000				2.004569	0.163734	0.242514	1.983097					-73.626013	3.864105	56.383097	57.562184	90.000000	0.000000
dji_0080.jpg	-73.626025	3.864111	54.800000				1.645465	0.322585	0.113199	1.609559					-73.626022	3.864113	56.409559	63.284272	90.000000	0.000000
dji_0081.jpg	-73.626016	3.864126	54.800000				1.797651	0.529064	0.574923	1.618982					-73.626011	3.864131	56.418982	74.885922	90.000000	0.000000
dji_0082.jpg	-73.626010	3.864134	54.700000				1.715897	0.269706	-0.196878	1.683092					-73.626008	3.864132	56.383092	69.979507	90.000000	0.000000
dji_0083.jpg	-73.625999	3.864117	54.800000				1.926632	0.504087	-0.475404	1.797721					-73.625995	3.864113	56.597721	51.403432	90.000000	0.000000
dji_0084.jpg	-73.625960	3.864098	54.900000				1.692930	-0.081330	0.519965	1.609048					-73.625960	3.864103	56.509048	12.091873	90.000000	0.000000
dji_0085.jpg	-73.625947	3.864091	54.800000				1.684436	0.302868	0.416671	1.603739					-73.625944	3.864094	56.403739	0.183254	90.000000	0.000000
dji_0086.jpg	-73.625927	3.864091	54.800000				1.574347	-0.366480	0.317037	1.497915					-73.625931	3.864094	56.297915	346.850294	90.000000	0.000000
dji_0087.jpg	-73.625885	3.864121	54.800000				1.716134	-0.232217	0.669232	1.563112					-73.625887	3.864127	56.363112	292.617528	90.000000	0.000000
dji_0088.jpg	-73.625886	3.864148	54.800000				1.565633	-0.514951	0.005038	1.478515					-73.625891	3.864148	56.278515	280.731423	90.000000	0.000000
dji_0089.jpg	-73.625888	3.864179	54.900000				1.552365	-0.466746	-0.162686	1.471570					-73.625892	3.864178	56.371570	247.761284	90.000000	0.000000
dji_0090.jpg	-73.625916	3.864224	54.700000				2.081888	-0.958189	0.226948	1.834292					-73.625924	3.864226	56.534292	204.119800	90.000000	0.000000
dji_0091.jpg	-73.625938	3.864243	54.800000				1.617823	-0.396648	-0.460173	1.499421					-73.625942	3.864239	56.299421	184.463046	90.000000	0.000000
dji_0092.jpg	-73.625947	3.864243	54.700000				1.589105	-0.231600	-0.702901	1.406253					-73.625949	3.864236	56.106253	177.428646	90.000000	0.000000
